""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PLBD1"	1.83531487000778	-0.667348743316041	1.0223427914402	-0.652764169614702	0.513908326169972	NA
"PLBD2"	9.56418420505454	-1.68111090645624	0.53953276245534	-3.11586436161121	0.00183406612313238	0.0111287759356504
"PLCB3"	1.64485755505899	-1.68087943586038	1.17710450503639	-1.4279780840771	0.153298166692039	NA
"PLCB4"	3.61837724519721	-1.68365357502469	0.813018502582783	-2.07086747678692	0.0383711822591575	0.107745463375581
"PLCD1"	2.29242913819684	-0.666174582487456	0.935941984395779	-0.711769098506166	0.476607771072885	0.630105791007704
"PLCD3"	32.2837097652956	-0.797850241514075	0.320647287706516	-2.4882488394673	0.0128373875977345	0.04740718372049
"PLCD4"	3.30109014904342	-0.490414575181042	0.877298352308888	-0.559005467057314	0.576157989067859	0.713139044382
"PLCE1"	4.07551318681149	-1.49108046996441	0.774040431360096	-1.92635992843988	0.0540594472802023	0.137466195660977
"PLCG1"	6.10380545094955	-2.66781025002228	0.76480666909601	-3.48821520237995	0.000486256535856873	0.00406691296876567
"PLCG2"	5.7564030294956	0.322876745238122	0.580497915228362	0.556206554352751	0.578069659081663	0.714246612125887
"PLCH1"	5.02246480487534	-0.998173491798107	0.663291794248317	-1.50487839658758	0.132355343407969	0.26207946656064
"PLCL2"	2.00835354230412	-0.973932151048375	1.0630066763214	-0.916205112105907	0.359559324734849	NA
"PLD1"	3.30595036440873	-2.31131048545764	0.945436511191585	-2.44470195311642	0.0144971890772187	0.0519569139174484
"PLD2"	6.28098782696129	-0.842313855754373	0.613871647890385	-1.37213350486058	0.170021880939102	0.312679153275569
"PLD3"	81.8628264063259	0.351169005675443	0.265071667007667	1.32480777609961	0.185234915030793	0.332197994971269
"PLD5"	1.57562441307149	1.70206655167875	1.1723378097929	1.45185674083089	0.146541443032781	NA
"PLD6"	4.57650966497021	0.25385023165644	0.654906409288604	0.38761299027778	0.698302454248418	0.80761061583468
"PLDN"	6.90008274047127	-1.48666260184602	0.606091282047851	-2.45286914014488	0.0141721884763881	0.0511329804308544
"PLEC"	81.8877054281229	-1.90628179402899	0.360230943186133	-5.29183244828583	1.21096813929877e-07	6.17652251918667e-06
"PLEK2"	4.42312976075045	0.188932654246203	0.667988418862447	0.282838218315141	0.777300856010141	0.863049998712279
"PLEKHA1"	18.4278140326817	-0.159623813475445	0.359450733571977	-0.444077027995497	0.656986894363858	0.776761843170615
"PLEKHA2"	2.13914596020474	1.02370742029118	0.929239450604891	1.10166160038169	0.270608816920194	0.431583085185512
"PLEKHA3"	9.27535691443131	0.151092828253971	0.488741436500709	0.309146753211198	0.75720989593023	0.848595911392779
"PLEKHA4"	15.0895219463939	4.54489763454215	0.72473539055502	6.27111314525645	3.58475996500706e-10	4.07906929500564e-08
"PLEKHA5"	5.6518180890766	-0.316468710304919	0.591744664095718	-0.534806191769444	0.592783881052122	0.726731562488192
"PLEKHA6"	6.61770546158078	-1.41882162431289	0.604549320065119	-2.34690798123809	0.0189299291997812	0.0640785963240599
"PLEKHA7"	2.81436816421115	-0.911583625028199	0.872826866620341	-1.04440371841202	0.296298643983592	0.456689209223177
"PLEKHA8"	2.48131019966443	-0.429264723794534	0.896242433458345	-0.478960499714484	0.631966729663511	0.758992689317182
"PLEKHA8P1"	1.64389184764669	-0.52947069902518	1.08669066976568	-0.487232212216699	0.626093780157404	NA
"PLEKHB1"	1.49983472967854	0.413783163282774	1.08931354465121	0.379856805521743	0.704051712415525	NA
"PLEKHB2"	58.9329876419521	-0.574482067322721	0.276825170054778	-2.0752522872434	0.0379631589388889	0.106798569698052
"PLEKHF1"	4.02216913567515	0.528434097400092	0.687637541739966	0.768477672209354	0.442203450681026	0.599032644792521
"PLEKHF2"	5.68957494249462	-0.626105818306837	0.640354010176026	-0.977749507861639	0.328198229272886	0.488870895127416
"PLEKHG2"	4.38606072240548	-1.46655614194007	0.721115229347946	-2.0337334204773	0.0419784806095042	0.114741607599795
"PLEKHG3"	7.15674951959486	-1.16679632529954	0.579269568138394	-2.01425448440057	0.0439828219967574	0.118963353079673
"PLEKHG4"	6.72985948907403	-2.18207436751081	0.678025054393486	-3.21827984581299	0.00128961928257627	0.00856878564219022
"PLEKHH1"	2.8021209349699	-0.530583120073666	0.83235998072481	-0.637444293767751	0.523835484464523	0.671114554662836
"PLEKHH3"	5.03269381573333	-1.60311733370111	0.730622726392964	-2.19417939764288	0.0282225150808369	0.0855999179039001
"PLEKHJ1"	18.0963547009184	0.381049632605508	0.401137467166738	0.949922816477074	0.342151472400809	0.502984578892751
"PLEKHM1"	4.19932416366797	-1.32457048797559	0.740497917788963	-1.78875653280781	0.0736540340374338	0.172246869806925
"PLEKHM2"	8.97655714822612	-0.436423146446424	0.482459682276818	-0.904579517166825	0.365688190653787	0.525891654695473
"PLEKHM3"	1.01124104249752	-2.30833097638033	1.48524399909029	-1.55417626854186	0.120142376596072	NA
"PLEKHO2"	2.4395736948329	-0.112125129609941	0.919381130260382	-0.12195717958469	0.902932930790073	0.943383749929178
"PLIN2"	52.2854366915526	0.258269015290756	0.273292379930967	0.945028234435202	0.344644461662659	0.504965657743351
"PLIN3"	58.1318976668345	-0.0249437990867868	0.277286053600152	-0.0899569190838423	0.928321449562336	0.95808581275456
"PLK1"	84.6586805737065	-0.370695611822286	0.234111863808687	-1.58341233029187	0.113327514412141	0.234610175914389
"PLK1S1"	3.83798942031894	0.118640685062297	0.700896721305751	0.169269853112272	0.865584387517056	0.920048320085078
"PLK2"	68.0004272574224	-0.385275483710149	0.324365573659791	-1.18778167289184	0.234919436659156	0.392919569026183
"PLK3"	4.36851081866071	-0.814876514319327	0.684066818160848	-1.19122356571858	0.233565830619361	0.391426672964955
"PLK4"	3.99680748693324	-1.93165327380492	0.817879988623346	-2.36178082441689	0.018187391266873	0.0620829217574021
"PLLP"	3.23222620773115	1.52230638005251	0.835896705184313	1.82116566629706	0.0685816778035093	0.163709101119026
"PLOD1"	39.499697410871	-0.447527250254662	0.308253154144126	-1.45181726200738	0.146552422838289	0.281035708454505
"PLOD2"	85.6203839553073	-0.960334761049281	0.325503065455339	-2.95030942245011	0.00317455824971548	0.0167836685030025
"PLOD3"	11.7026051199415	-0.774430996694804	0.494920962457411	-1.56475691158756	0.117639918448382	0.24126695007343
"PLP2"	108.001399115243	0.743187572735786	0.320196559364273	2.32103547337089	0.0202849294025339	0.0674758300667777
"PLRG1"	32.8380401179733	0.0981138318630618	0.314769941186111	0.311700130874476	0.755268428485935	0.847319526931729
"PLS1"	27.4604723508925	-1.23321474400459	0.367973180698455	-3.3513712647857	0.000804124167435308	0.00596622836246099
"PLS3"	203.69603990371	-0.338347755499773	0.286258465134206	-1.18196593886279	0.237219216177961	0.395665163413415
"PLSCR1"	73.3427693537386	1.5712132108493	0.324678391309973	4.83929098117668	1.30303150783441e-06	4.29918958116116e-05
"PLSCR4"	4.20521596314613	-1.07373325635246	0.731805689963536	-1.46723819051743	0.142311271242692	0.275489989325328
"PLTP"	11.2728367046171	0.784975309773116	0.47119571680327	1.66592199754832	0.0957289516152295	0.208064592877365
"PLXNA1"	9.81992099522791	-0.0983580650040221	0.48101707267437	-0.20447936381378	0.837978916605453	0.902517739622603
"PLXNA2"	1.6113059078442	-0.309516386542857	1.06852877800254	-0.289665934053225	0.772071820162006	NA
"PLXNB1"	3.95152330652173	-2.23845325874461	0.88244912475222	-2.53663717936503	0.0111922883162092	0.0431901242845529
