"FSC-A","SSC-A","Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
69727.164062,39382.417969,-8.653292,3374.230957,204.432159,205.303253,44.390514
51692.917969,33956.007812,19.927708,3196.272461,77.720779,198.522858,44.390564
102248.390625,55168.449219,56.949661,3718.855225,309.444366,340.301025,44.390953
74300.882812,48282.554688,69.687134,3616.427002,240.878555,344.248413,44.391941
44894.929688,37019.222656,3.798647,2662.639404,198.481628,294.025085,44.397606
65183.832031,35778.445312,12.925547,2871.988281,206.102615,204.195084,44.399254
49610.429688,24199.226562,-13.390478,2678.971924,160.100815,173.050247,44.401821
58438.863281,36352.218750,27.907623,2363.613281,147.434402,192.034256,44.402153
61188.539062,35481.492188,20.090654,2303.625732,167.701828,180.367783,44.403084
54939.113281,28138.603516,2.129447,2820.015381,201.624741,275.175934,44.403477
67569.742188,28732.609375,41.602325,3326.568848,238.951736,304.709381,44.406231
64886.675781,33394.261719,31.593525,2649.949951,52.249958,207.987396,44.406563
88937.539062,38006.730469,111.445900,3035.739258,201.022995,330.711212,44.406830
74444.828125,40021.167969,-12.722816,2869.923828,246.323517,392.181213,44.407204
70168.460938,40568.640625,42.784908,3448.061523,216.115906,179.649506,44.407661
70083.265625,37449.316406,53.085308,3030.639160,148.243668,263.925293,44.408676
84575.140625,56372.683594,55.914337,4579.443359,289.312439,449.817169,44.409389
60783.757812,29272.769531,70.220070,3281.456787,89.234047,193.302567,44.409397
39666.425781,25168.193359,30.775204,2111.277344,98.891922,164.295242,44.409752
50491.207031,56799.019531,23.694498,4668.453125,281.069122,299.986786,44.411869
72895.351562,44803.035156,20.668322,4266.816895,163.196136,174.121002,44.412518
66171.859375,39292.496094,51.897213,3864.148438,229.707855,236.808548,44.413136
63643.183594,30688.876953,10.830092,2369.866943,96.716789,166.337784,44.413170
48315.792969,38817.906250,40.269741,2084.987549,60.948551,76.574768,44.413452
84111.882812,49394.531250,112.196495,4383.877441,372.228302,328.807281,44.416134
93027.523438,54809.011719,84.425621,4586.547363,298.597351,369.017944,44.416965
69253.781250,33193.218750,59.054020,3630.027588,312.990051,375.198975,44.417198
78924.820312,55420.816406,24.294119,3414.242676,262.430573,245.067108,44.417217
78977.054688,33821.886719,49.980522,2254.627930,211.778809,313.115295,44.417717
60059.593750,60696.375000,-7.938591,3392.991943,168.037933,399.650513,44.418308
48224.851562,37563.148438,24.404772,2546.550537,140.011337,181.607788,44.418575
92825.273438,51920.218750,-4.062336,4692.557617,146.759949,312.759979,44.419716
73949.343750,49395.777344,86.215202,2401.439209,213.714203,327.313049,44.419746
69365.007812,50510.144531,37.785736,3922.071533,131.903458,193.428146,44.421238
81177.921875,43730.730469,56.480118,2927.482666,236.824890,373.530762,44.421600
71838.781250,43542.339844,16.297720,3488.437500,92.840462,191.323547,44.421677
50627.929688,31052.794922,67.299957,756.339233,93.588707,147.300659,44.422173
55144.535156,44540.140625,8.545496,3520.677979,158.013962,277.039917,44.422699
44344.382812,32056.732422,-30.140291,2934.525635,170.255844,211.285660,44.423000
71354.101562,32597.673828,22.733013,2973.869629,182.272491,190.133514,44.423836
44183.406250,57296.097656,51.257252,4660.013672,228.043793,334.463562,44.423851
69263.812500,39444.507812,83.414360,3494.266357,172.540115,245.523453,44.423939
53012.589844,31439.554688,34.412445,2707.690674,201.624741,242.396652,44.424110
70892.085938,43334.160156,74.278801,4012.659668,210.376953,235.432907,44.424458
64181.203125,26782.453125,60.226761,2209.394531,178.448471,250.883881,44.424957
102229.351562,69422.007812,129.417465,4378.230469,169.046173,260.733246,44.425358
93107.796875,70344.640625,98.311844,5911.127441,326.234711,449.029205,44.426559
59702.300781,33443.562500,36.017998,2993.420166,256.867523,316.967010,44.427147
91568.601562,67840.984375,10.127099,5252.541016,217.783203,490.555237,44.427471
33614.730469,20701.304688,9.085520,2532.646484,117.621811,79.011688,44.429283
48611.617188,28358.355469,-42.666492,2492.573975,97.464569,240.289780,44.429310
71277.867188,30296.384766,-25.251890,2997.913086,112.402000,277.640503,44.429577
73958.843750,57465.269531,36.535320,2500.649170,179.320831,230.746475,44.430790
63116.109375,41685.402344,56.027443,3591.897949,207.104675,169.807617,44.431198
55625.203125,26828.201172,-18.519840,2812.000977,111.384651,180.743744,44.432388
54765.046875,36355.097656,26.223827,3138.409912,122.701920,274.586823,44.432728
78272.187500,40481.507812,59.737488,4679.928711,153.838181,279.073212,44.433754
63825.992188,42504.308594,61.130032,3167.310791,259.186096,340.398224,44.434193
49933.285156,27296.537109,19.949604,3411.207031,258.126312,302.910400,44.434471
79334.453125,38481.144531,19.293762,4033.545898,148.108810,205.146515,44.435253
90941.062500,68116.625000,3.548625,4527.774414,292.870087,335.695374,44.435802
67590.875000,45052.691406,-11.669263,3171.743164,88.212997,182.701187,44.436226
56390.570312,40811.121094,14.947236,3860.019775,190.784210,326.377075,44.436386
60891.925781,34748.718750,39.387634,3518.613525,124.394386,286.624451,44.436684
78934.515625,37682.222656,-5.282504,4360.076660,262.695343,287.377350,44.436993
84678.328125,35675.531250,19.918179,3141.688721,240.280670,290.141571,44.437012
69850.554688,33958.949219,59.478916,2742.966797,177.844467,339.954102,44.437424
101427.359375,75772.960938,53.409100,6396.977051,322.172638,489.126831,44.438309
61392.179688,39927.824219,54.466953,2871.381104,196.273773,240.774979,44.438511
64078.898438,41709.515625,67.343582,3620.252197,261.172699,282.113953,44.439186
65624.218750,54027.179688,46.109505,5291.642090,219.050049,273.899231,44.439243
92951.585938,52948.789062,20.181067,5010.284180,226.978561,309.348633,44.439388
81088.421875,45749.097656,4.373967,4605.612305,170.255844,405.176270,44.439560
60272.988281,26378.199219,11.078555,3003.924072,161.177628,205.947174,44.439922
63582.457031,59849.347656,59.777130,4764.081055,183.613693,325.821991,44.439972
40119.894531,49528.585938,118.070526,6653.623535,225.646729,369.853912,44.440319
57919.250000,45734.664062,52.839603,3058.386230,166.962296,295.871185,44.440540
45808.617188,26454.283203,42.061581,2384.924561,103.375839,156.128723,44.440834
67380.750000,29536.027344,-10.081377,2902.528320,159.091141,248.461365,44.442184
67063.101562,30397.509766,1.713467,1951.958740,87.532204,146.476440,44.444405
65472.390625,29540.470703,43.250660,2740.052246,103.443748,183.066544,44.444672
69697.437500,42059.699219,10.897098,4971.244141,188.104630,326.213013,44.445801
59117.859375,38855.625000,-15.638764,2588.383789,175.897827,200.412537,44.446297
56819.785156,25156.775391,-16.346155,2210.244629,126.018730,216.646866,44.448082
55677.546875,42721.621094,84.038094,2312.065186,183.680756,141.566879,44.449711
72459.367188,32461.449219,98.015335,2742.359619,201.892166,242.551910,44.453590
62410.234375,45428.726562,40.638805,2328.640625,169.247787,249.183441,44.454453
68340.921875,34533.078125,-22.115208,3260.267090,191.386978,280.124054,44.454720
92663.726562,53311.390625,87.165207,3885.884521,112.334183,301.649384,44.455536
66497.382812,42450.621094,20.082661,3890.802734,168.978943,253.724594,44.456730
