"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
100901,116115,86.8,3.21533
85096.8,80888.9,178.56,3.21739
91561.6,72417.2,151.28,3.21842
89065.6,64017.5,26.04,3.21945
94608.8,88722,116.56,3.2215
85307.2,84245.6,120.28,3.22459
88418.4,106966,37.2,3.22974
83742.4,77875.7,184.76,3.23179
85464.8,52357.8,91.76,3.23179
61798.4,68502.6,79.36,3.23282
104991,98503.1,161.2,3.23488
82523.2,111713,173.6,3.23591
83391.2,79195.1,85.56,3.239
76121.6,66362.3,119.04,3.24311
82711.2,62539.4,37.2,3.24414
79051.2,83535.1,80.6,3.24517
85925.6,78959.5,102.92,3.2462
69815.2,36456,-24.8,3.24928
60859.2,59551,78.12,3.24928
65289.6,59764.3,-14.88,3.25031
75011.2,86240.8,70.68,3.25237
106724,81938,110.36,3.2534
70998.4,60364.4,58.28,3.26266
79950.4,96286,156.24,3.26369
69676,54004.5,101.68,3.26575
91807.2,110129,99.2,3.26678
87207.2,134838,220.72,3.26883
70378.4,99769.2,76.88,3.27089
93686.4,109558,38.44,3.27192
63574.4,37376.1,74.4,3.27192
69871.2,54230.2,106.64,3.27295
85476.8,67909.8,95.48,3.27398
74936.8,64930.1,48.36,3.27604
72970.4,49069.3,42.16,3.27604
91512.8,83891,79.36,3.27707
71111.2,76762.2,104.16,3.27707
86220,61428.4,-48.36,3.27912
86035.2,100500,59.52,3.28015
73360.8,53227,21.08,3.28118
70640.8,66467.7,52.08,3.28221
65754.4,54386.4,26.04,3.28221
95675.2,105003,133.92,3.28427
71051.2,55302.8,89.28,3.28427
64972,69314.8,251.72,3.28427
79799.2,70804,64.48,3.28427
66727.2,48448,59.52,3.2853
100884,116006,124,3.28633
77815.2,91301.2,179.8,3.28735
98512,107014,365.8,3.28838
96609.6,123351,172.36,3.2925
68991.2,49438.8,12.4,3.31411
83676,92186.6,115.32,3.32234
74391.2,92175.4,47.12,3.33263
66880.8,52344.1,35.96,3.33674
67159.2,62703.1,69.44,3.346
93642.4,103746,238.08,3.34703
71416,65783.2,50.84,3.35218
94657.6,131962,76.88,3.3532
96527.2,93797.3,146.32,3.35526
82238.4,70739.5,52.08,3.37481
84926.4,61265.9,48.36,3.37687
85212.8,66932.7,60.76,3.37996
87800,119825,169.88,3.38099
90246.4,146714,362.08,3.38304
90479.2,99185.1,48.36,3.38407
91161.6,93434,54.56,3.38613
66255.2,71050.8,66.96,3.39333
74492,78840.4,285.2,3.39539
59544,52900.9,43.4,3.39848
80201.6,105695,49.6,3.40156
73186.4,66811.2,66.96,3.43449
108307,126267,163.68,3.43655
80486.4,49575.2,137.64,3.43655
92280,89089,75.64,3.4386
77356,68171.5,101.68,3.44066
66335.2,42963.5,12.4,3.44272
77929.6,76545.2,133.92,3.44272
69178.4,42043.4,22.32,3.44478
102450,79090.9,120.28,3.44684
82297.6,78401.5,49.6,3.44889
72211.2,57231,58.28,3.45198
106178,132097,81.84,3.45301
82463.2,76923.4,109.12,3.45404
91576.8,91804.6,121.52,3.45918
66926.4,78627.2,21.08,3.46638
78903.2,89175.8,73.16,3.4705
92248,121591,126.48,3.47462
90752,110552,78.12,3.47667
81379.2,59723.4,104.16,3.47976
94518.4,84979.7,44.64,3.48285
93276.8,89483.4,42.16,3.4849
62048.8,58127.5,52.08,3.51166
69495.2,45198,62,3.51577
83451.2,49623.6,71.92,3.52194
62616,63129.6,131.44,3.52297
97685.6,117767,176.08,3.52709
74594.4,45423.7,31,3.52915
94897.6,66388.4,6.2,3.53121
81278.4,85509.2,0,3.53326
65148,51479.8,23.56,3.53738
87063.2,75925.2,54.56,3.53944
71653.6,61778,64.48,3.54047
77041.6,58890.1,99.2,3.54149
83566.4,126482,136.4,3.54355
76658.4,55285.4,21.08,3.54561
78972.8,102658,99.2,3.54561
96980,105002,187.24,3.54664
76947.2,66700.8,121.52,3.54664
90468,77658.7,158.72,3.5487
87375.2,66110.6,101.68,3.55075
86215.2,111709,156.24,3.55178
69287.2,60250.4,110.36,3.55281
98023.2,97676,515.84,3.55384
90308,102310,102.92,3.55693
99574.4,87882.5,248,3.56619
77301.6,56133.6,24.8,3.56722
84627.2,70874.7,3.72,3.56722
105557,100214,142.6,3.56927
79244,101609,107.88,3.5703
76232.8,54697.6,53.32,3.57236
81876.8,97043.6,190.96,3.57236
71008.8,60902.6,50.84,3.57339
73477.6,40726.6,17.36,3.57442
79148.8,49053.2,1.24,3.57545
81709.6,100492,55.8,3.57545
68675.2,69053.1,54.56,3.57751
