"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
79596,60112.7,53.32,2.79143
72566.4,59847.4,111.6,2.79246
91849.6,92739.6,686.96,2.79556
98742.4,88011.5,1516.52,2.79556
101656,72352.8,89.28,2.79763
70376.8,48595.6,179.8,2.79866
92966.4,100638,107.88,2.80073
106892,116254,39.68,2.80383
66465.6,84323.7,107.88,2.84928
88517.6,78159.7,58.28,2.87511
99625.6,72464.4,122.76,2.87821
80555.2,65624.5,43.4,2.88028
74191.2,45637,115.32,2.88131
89764.8,66359.8,63.24,2.88131
88654.4,80886.4,83.08,2.88337
96646.4,85576.1,140.12,2.88544
78256.8,127497,125.24,2.88751
83576.8,107829,450.12,2.88751
106087,85266.1,531.96,2.88957
79358.4,90874.6,124,2.88957
75496.8,88254.5,101.68,2.89267
80576,83094.9,171.12,2.89371
85457.6,87919.7,89.28,2.89371
77190.4,58432.5,35.96,2.89577
76766.4,62558,90.52,2.89577
91052,96175.6,137.64,2.89784
67199.2,67172,505.92,2.89887
88815.2,66445.4,55.8,2.90094
95889.6,108226,145.08,2.90404
66711.2,51751.4,66.96,2.90507
90646.4,76587.4,166.16,2.90507
100015,102521,230.64,2.9061
81510.4,62858.1,54.56,2.9061
71089.6,54643.1,157.48,2.9061
105061,115949,167.4,2.9092
64087.2,54532.7,74.4,2.91127
83594.4,61802.8,148.8,2.91333
57028,53962.3,3907.24,2.91437
67632.8,52314.4,1242.48,2.91643
82784.8,61485.4,466.24,2.9185
86908,90947.8,98132.4,2.9216
79055.2,66327.6,1478.08,2.9216
75279.2,75749.1,1361.52,2.92367
66863.2,37317.8,95.48,2.92676
80573.6,61802.8,122.76,2.92883
82180.8,48785.3,-2.48,2.93296
78138.4,85686.5,18.6,2.93296
95852.8,93520.8,63.24,2.93606
81504.8,84974.7,207.08,2.93606
81637.6,81858.6,145.08,2.9371
84973.6,107634,181.04,2.93813
114513,114311,896.52,2.94123
85113.6,96892.4,97.96,2.94536
89703.2,64098.1,80.6,2.94639
95104.8,149858,37961.4,2.94846
94692.8,83034.1,161.2,2.94949
72692.8,68900.6,109.12,2.95156
76819.2,114271,378.2,2.95363
76727.2,63807.9,69.44,2.95466
115499,98082.8,176.08,2.95569
88686.4,90965.2,93,2.95879
81232,72207.7,29.76,2.97325
94706.4,100460,135.16,2.97635
65832.8,46544.6,110.36,2.97842
71331.2,67234,9936.12,2.98255
85804.8,69045.7,114.08,2.99702
92781.6,78614.8,740.28,3.00011
72039.2,66171.4,71.92,3.00218
80066.4,58188.2,223.2,3.00321
96056,109714,136.4,3.00631
88917.6,85808,125.24,3.00941
95618.4,141770,181.04,3.01148
88943.2,65566.2,121.52,3.01251
95869.6,108979,401.76,3.01458
78468,64342.4,70.68,3.01561
72347.2,77942.7,283.96,3.01664
70934.4,36213,8296.84,3.03421
76434.4,92584.6,336.04,3.03731
90771.2,82404.2,-22.32,3.03937
56828.8,48263.3,71.92,3.04247
82660,90590.7,559.24,3.04454
104715,142291,70.68,3.04867
100714,88366.1,105.4,3.06313
91546.4,83954.2,28.52,3.06623
87837.6,71197.1,202.12,3.06933
80172,90859.8,119.04,3.07037
86256.8,103771,153.76,3.07346
62881.6,55375.9,39.68,3.07553
88658.4,95679.6,243.04,3.0776
67224.8,69639.6,197.16,3.07966
86532,85780.7,48126.9,3.0807
103242,121137,267.84,3.08173
92694.4,67315.9,28.52,3.08276
72939.2,61693.7,86.8,3.08483
89632.8,73581.6,76.88,3.08689
83503.2,108086,116.56,3.08793
75621.6,92096,84.32,3.08999
63635.2,56328.2,27.28,3.09103
89464.8,83242.4,54.56,3.10342
93985.6,80643.4,585.28,3.11272
74971.2,60912.5,70.68,3.11892
